rca_event_id,start_time,end_time,affected_ports,problem_type,root_cause_candidate,evidence,duration_minutes,severity_score,root_cause_score,confidence
RCA-023,2026-02-01 01:50:00,2026-02-01 01:55:00,"port-id7427,port-id7429,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",10,100,100,High
RCA-040,2026-02-01 02:45:00,2026-02-01 02:55:00,"port-id7427,port-id7429,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",15,100,100,High
RCA-045,2026-02-01 03:00:00,2026-02-01 03:10:00,"port-id7429,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,86,100,High
RCA-046,2026-02-01 03:00:00,2026-02-01 03:10:00,"port-id7429,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,86,100,High
RCA-047,2026-02-01 03:05:00,2026-02-01 03:10:00,"port-id7428,port-id7430,port-id7431",Traffic surge / capacity pressure,Business traffic growth or large transfer,"OCTETS high | Compare packet growth and avg_packet_size | Check backup, data sync, download, upload, streaming, or capacity pressure",10,100,100,High
RCA-049,2026-02-01 03:15:00,2026-02-01 03:25:00,"port-id7427,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-050,2026-02-01 03:15:00,2026-02-01 03:25:00,"port-id7427,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
RCA-051,2026-02-01 03:15:00,2026-02-01 03:25:00,"port-id7427,port-id7430,port-id7431",Packet surge / possible scan,Small packet scan or connection surge,"UCASTPKTS high | OCTETS may be flat or only mildly high | Check port scan, short connections, DDoS small packets, heartbeat surge",15,100,100,High
RCA-054,2026-02-01 03:30:00,2026-02-01 03:40:00,"port-id7428,port-id7430,port-id7431",Broadcast storm / L2 loop,Broadcast storm / L2 loop,"BROADCAST high across ports | NUCAST high may rise together | Check STP, loop, ARP storm, DHCP storm, VLAN scope",15,100,100,High
RCA-055,2026-02-01 03:30:00,2026-02-01 03:40:00,"port-id7428,port-id7430,port-id7431",Multicast flooding,Multicast flooding,"MULTICAST high across ports | DISCARDS may rise | Check IGMP snooping, querier, IPTV or routing protocol behavior",15,100,100,High
