start_time,end_time,problem_type,affected_ports,affected_port_count,evidence_metrics,raw_alert_count,severity_score,event_labels
2026-02-01 00:00:00,2026-02-01 00:00:00,Link quality issue,port-id7430,1,errors,1,55,normal
2026-02-01 00:05:00,2026-02-01 00:05:00,Unknown protocol / scan,port-id7430,1,unknown_protocol,1,55,normal
2026-02-01 00:15:00,2026-02-01 00:25:00,Packet surge / possible scan,"port-id7428,port-id7430",2,packets,2,78,normal
2026-02-01 00:15:00,2026-02-01 00:15:00,Multicast anomaly,port-id7430,1,multicast,1,55,normal
2026-02-01 00:15:00,2026-02-01 00:15:00,Traffic surge / capacity pressure,port-id7427,1,traffic,1,55,normal
2026-02-01 00:25:00,2026-02-01 00:25:00,Broadcast anomaly,port-id7428,1,broadcast,1,55,normal
2026-02-01 00:30:00,2026-02-01 00:30:00,Broadcast anomaly,port-id7431,1,broadcast,1,55,normal
2026-02-01 00:30:00,2026-02-01 00:30:00,Queue / buffer pressure,port-id7427,1,discards,1,55,normal
2026-02-01 00:30:00,2026-02-01 00:30:00,Multicast anomaly,port-id7431,1,multicast,1,55,normal
2026-02-01 00:30:00,2026-02-01 00:30:00,Packet surge / possible scan,port-id7431,1,packets,1,55,normal
2026-02-01 00:40:00,2026-02-01 00:40:00,Traffic surge / capacity pressure,"port-id7428,port-id7431",2,traffic,2,78,normal
2026-02-01 00:45:00,2026-02-01 00:45:00,Traffic surge / capacity pressure,"port-id7429,port-id7430",2,traffic,2,78,normal
2026-02-01 00:55:00,2026-02-01 00:55:00,Packet surge / possible scan,"port-id7427,port-id7429",2,packets,2,78,normal
2026-02-01 00:55:00,2026-02-01 00:55:00,Broadcast anomaly,port-id7429,1,broadcast,1,55,normal
2026-02-01 00:55:00,2026-02-01 00:55:00,Queue / buffer pressure,port-id7429,1,discards,1,55,normal
2026-02-01 00:55:00,2026-02-01 00:55:00,Link quality issue,port-id7431,1,errors,1,55,normal
2026-02-01 00:55:00,2026-02-01 00:55:00,Multicast anomaly,port-id7429,1,multicast,1,55,normal
2026-02-01 01:00:00,2026-02-01 01:05:00,Broadcast storm / L2 loop,"port-id7427,port-id7429",2,broadcast,2,78,normal
2026-02-01 01:00:00,2026-02-01 01:05:00,Multicast flooding,"port-id7427,port-id7431",2,multicast,2,78,normal
2026-02-01 01:00:00,2026-02-01 01:05:00,Packet surge / possible scan,"port-id7427,port-id7429",2,packets,2,78,normal
2026-02-01 01:05:00,2026-02-01 01:05:00,Traffic surge / capacity pressure,"port-id7427,port-id7431",2,traffic,2,78,normal
