schedule_id,kind,port_id,start_time,end_time,periods_5min,description
W,batch_queue_loading,port-id7427,2026-02-25 18:30:00,2026-02-25 19:55:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
W,batch_queue_loading,port-id7427,2026-02-26 18:30:00,2026-02-26 19:55:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
W,batch_queue_loading,port-id7428,2026-02-02 19:35:00,2026-02-02 21:00:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-02 21:05:00,2026-02-03 06:05:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-04 19:10:00,2026-02-04 20:35:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-04 20:40:00,2026-02-05 05:40:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-05 19:50:00,2026-02-05 21:15:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-05 21:20:00,2026-02-06 06:20:00,109,月初對帳檔交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-09 19:25:00,2026-02-09 20:50:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-09 20:55:00,2026-02-10 05:55:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-11 19:45:00,2026-02-11 21:10:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-11 21:15:00,2026-02-12 06:15:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-12 19:05:00,2026-02-12 20:30:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-12 20:35:00,2026-02-13 05:35:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-16 19:30:00,2026-02-16 20:55:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-16 21:00:00,2026-02-17 06:00:00,109,季度申報檔交換 / 該次把出口推過容量 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-17 19:15:00,2026-02-17 20:40:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-17 20:45:00,2026-02-18 05:45:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-18 19:55:00,2026-02-18 21:20:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-18 21:25:00,2026-02-19 06:25:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-20 19:20:00,2026-02-20 20:45:00,18,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-20 20:50:00,2026-02-21 05:50:00,109,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
W,batch_queue_loading,port-id7428,2026-02-22 19:40:00,2026-02-22 20:00:00,5,派送前的工單入列 / 封包數上升而位元組僅微增
S,partner_file_exchange,port-id7428,2026-02-22 21:35:00,2026-02-23 06:10:00,104,夥伴檔案交換 / 夜間大量傳檔，量隨當日累積工作量變動
Q,market_open_microburst,port-id7429,2026-02-02 09:00:00,2026-02-02 09:25:00,6,開盤與收盤集合競價微爆量 / 每個交易日固定發生的排程行為
